Border_ID;Basin 1;Basin 2;Border_length (m);Border_height_min (m);Border_height_mean (m);Border_height_mean_lowest25% (m);;;;
103;28;41;3029.99;5.590262622;6.62648885;5.970913713;;;;
111;28;43;1022.01;-5.5;-1.694148209;5.75;;;;
82;29;39;667.97;8.386254287;8.877080218;8.497433739;;;;
83;29;37;1180.04;-0.271911913;7.024610437;6.024780727;;;;
84;29;32;1130.12;6.245089304;6.811772494;6.566538812;;;;
85;29;30;347.99;3.813528324;6.536442344;6.253054169;;;;
91;29;33;1478.13;6.359349225;7.043793728;6.725379947;;;;
94;29;38;2739.95;6.031937024;7.252587871;6.379718367;;;;
110;29;43;1995.57;-4.5;6.54008681;6.1202;;;;
63;30;35;218;7.266445421;7.619257265;7.292521909;;;;
64;30;34;1580;2.163882958;7.168974777;6.475513665;;;;
69;30;32;497.99;6.308735567;6.627706176;6.478756219;;;;
73;30;31;2110.02;6.359468393;7.230811978;6.787425441;;;;
72;31;35;1398.03;7.298923384;7.902824995;7.406223423;;;;
74;31;0;170.02;6.869311504;7.607575552;7.389020838;;;;
89;31;33;3139.98;6.868747736;7.547247049;7.246123917;;;;
121;31;32;997.98;6.443876045;7.001637935;6.689940042;;;;
90;32;33;1489.99;6.351768581;7.08469494;6.759543692;;;;
108;33;43;1250.18;6.833604891;7.296129375;6.938975151;;;;
109;33;42;4319.91;7.052947426;7.426306052;7.167614463;;;;
61;34;35;1347.97;-1.145754285;7.079222814;6.095201422;;;;
62;34;36;887.99;-1.5;6.739115773;6.86329;;;;
95;34;38;3070.02;6.230266581;6.806039932;6.490169887;;;;
48;35;24;2220.11;8.114764732;8.744761822;8.321849966;;;;
49;35;25;650.03;8.193953033;8.354680542;8.289524945;;;;
50;35;36;3436.63;-1.245780453;7.626126527;7.110894;;;;
96;36;38;439.98;7.140100544;7.278286241;7.183586979;;;;
100;36;40;3487.83;6.245802707;6.710716584;6.354416318;;;;
80;37;39;2327.94;4.637500825;6.988078451;6.23113;;;;
81;37;41;670.01;4.103993943;6.64797775;5.8864;;;;
93;38;39;949.81;5.696915155;7.24677665;6.297438584;;;;
97;38;41;1790.05;5.943605992;6.383157362;6.170647417;;;;
99;38;40;2038.04;6.398850005;6.93769901;6.643721077;;;;
79;39;41;1897.94;4.292161606;5.782190518;5.504467853;;;;
98;40;41;1439.18;5.826517506;6.785854632;6.202390613;;;;
